Subject,Catalog Number,Same As,Class Section,Class Number,Description,Term,Hours,Meeting Dates,Schedule,Room,Instruction Type,Instructor,Available Seats
120,,001,2429,Foundations Stat Data Science,2026 Summer II,4.0,06/22/2026 - 07/28/2026,WF 11:30 AM-12:20 PM,Hanes Hall-Rm 0107,In Person On Campus Learners,None,30
,001,2429,Foundations Stat Data Science,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTTH 11:30 AM-01:30 PM,Hanes Hall-Rm 0107,In Person On Campus Learners,None,30
155,,001,1221,Intro Data Models & Inference,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Hanes Hall-Rm 0125,In Person On Campus Learners,None,30
,002,1222,Intro Data Models & Inference,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Hanes Hall-Rm 0120,In Person On Campus Learners,None,30
,003,1223,Intro Data Models & Inference,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 01:15 PM-02:45 PM,Hanes Hall-Rm 0125,In Person On Campus Learners,None,30
320,,001,1224,Methods Of Data Science,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTH 09:45 AM-11:45 AM,Hanes Art Center-Rm 0215,In Person On Campus Learners,None,30
415,,001,2431,Intro To Optimization,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Hanes Hall-Rm 0130,In Person On Campus Learners,None,30
455,,001,1226,Methods Data Analysis,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Hanes Hall-Rm 0130,In Person On Campus Learners,None,30
493,,003,1864,Internship In Stor,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"NOBEL,ANDREW B",10
496,,023,2308,Ug Read & Res In Stor,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"O'Neill,Michael John",2
538,,001,2428,Sports Analytics,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Hanes Hall-Rm 0107,In Person On Campus Learners,None,30
930,,007,1035,Advanced Research,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,2
